sub	file	q	arm	psnr	ssim2	butter_n3
screen	archive__details-collection__1440x900__dpr1.png	35	span_chain	32.566	59.647	5.9733
screen	archive__details-collection__1440x900__dpr1.png	35	compact_chain	33.994	59.725	2.8645
screen	archive__details-collection__1440x900__dpr1.png	50	lanczos	31.655	57.739	3.4378
screen	archive__details-collection__1440x900__dpr1.png	50	span_direct	32.589	61.005	5.9701
screen	archive__details-collection__1440x900__dpr1.png	50	compact_direct	33.960	60.354	2.7440
screen	archive__details-collection__1440x900__dpr1.png	50	span_chain	32.709	61.742	5.9680
screen	archive__details-collection__1440x900__dpr1.png	50	compact_chain	34.203	61.688	2.6228
screen	archive__details-collection__1440x900__dpr1.png	75	lanczos	31.954	61.560	2.8326
screen	archive__details-collection__1440x900__dpr1.png	75	span_direct	32.720	62.895	5.9642
screen	archive__details-collection__1440x900__dpr1.png	75	compact_direct	34.153	62.561	2.6554
screen	archive__details-collection__1440x900__dpr1.png	75	span_chain	32.825	63.560	5.9635
screen	archive__details-collection__1440x900__dpr1.png	75	compact_chain	34.331	64.807	2.6043
screen	archive__wayback-search__1440x900__dpr1.png	35	lanczos	22.363	21.159	4.9554
screen	archive__wayback-search__1440x900__dpr1.png	35	span_direct	22.758	24.526	4.1007
screen	archive__wayback-search__1440x900__dpr1.png	35	compact_direct	22.754	23.843	4.1004
screen	archive__wayback-search__1440x900__dpr1.png	35	span_chain	22.929	27.165	3.9877
screen	archive__wayback-search__1440x900__dpr1.png	35	compact_chain	22.946	27.454	3.9591
screen	archive__wayback-search__1440x900__dpr1.png	50	lanczos	22.593	26.500	4.7919
screen	archive__wayback-search__1440x900__dpr1.png	50	span_direct	23.057	29.743	3.7403
screen	archive__wayback-search__1440x900__dpr1.png	50	compact_direct	23.070	29.124	3.7435
screen	archive__wayback-search__1440x900__dpr1.png	50	span_chain	23.162	31.146	3.6816
screen	archive__wayback-search__1440x900__dpr1.png	50	compact_chain	23.201	31.471	3.6460
screen	archive__wayback-search__1440x900__dpr1.png	75	lanczos	22.942	31.936	4.6139
screen	archive__wayback-search__1440x900__dpr1.png	75	span_direct	23.362	32.497	3.5654
screen	archive__wayback-search__1440x900__dpr1.png	75	compact_direct	23.445	32.241	3.5376
screen	archive__wayback-search__1440x900__dpr1.png	75	span_chain	23.448	33.571	3.5390
screen	archive__wayback-search__1440x900__dpr1.png	75	compact_chain	23.555	34.044	3.4885
screen	archives__exhibits__1440x900__dpr1.png	35	lanczos	19.480	25.406	4.4846
screen	archives__exhibits__1440x900__dpr1.png	35	span_direct	19.685	30.598	4.8625
screen	archives__exhibits__1440x900__dpr1.png	35	compact_direct	19.701	27.546	4.2913
screen	archives__exhibits__1440x900__dpr1.png	35	span_chain	19.787	33.865	4.6914
screen	archives__exhibits__1440x900__dpr1.png	35	compact_chain	19.825	32.777	4.1338
screen	archives__exhibits__1440x900__dpr1.png	50	lanczos	19.667	30.842	4.0700
screen	archives__exhibits__1440x900__dpr1.png	50	span_direct	19.891	35.188	4.6667
screen	archives__exhibits__1440x900__dpr1.png	50	compact_direct	19.920	32.157	3.8988
screen	archives__exhibits__1440x900__dpr1.png	50	span_chain	19.964	37.777	4.6386
screen	archives__exhibits__1440x900__dpr1.png	50	compact_chain	20.020	36.768	3.7709
screen	archives__exhibits__1440x900__dpr1.png	75	lanczos	19.935	39.377	3.6444
screen	archives__exhibits__1440x900__dpr1.png	75	span_direct	20.162	41.049	4.4280
screen	archives__exhibits__1440x900__dpr1.png	75	compact_direct	20.225	38.801	3.4695
screen	archives__exhibits__1440x900__dpr1.png	75	span_chain	20.198	41.831	4.4354
screen	archives__exhibits__1440x900__dpr1.png	75	compact_chain	20.288	41.598	3.3883
documents	office_census-acs-2024_questionnaire_p01_page1.png	35	lanczos	24.213	36.911	4.2852
documents	office_census-acs-2024_questionnaire_p01_page1.png	35	span_direct	25.737	42.773	4.9375
documents	office_census-acs-2024_questionnaire_p01_page1.png	35	compact_direct	25.868	45.980	3.2711
documents	office_census-acs-2024_questionnaire_p01_page1.png	35	span_chain	26.325	45.832	4.8688
documents	office_census-acs-2024_questionnaire_p01_page1.png	35	compact_chain	26.444	50.646	3.0650
documents	office_census-acs-2024_questionnaire_p01_page1.png	50	lanczos	24.515	42.323	3.8024
documents	office_census-acs-2024_questionnaire_p01_page1.png	50	span_direct	26.072	46.230	4.8935
documents	office_census-acs-2024_questionnaire_p01_page1.png	50	compact_direct	26.227	50.076	2.9489
documents	office_census-acs-2024_questionnaire_p01_page1.png	50	span_chain	26.574	48.138	4.8400
documents	office_census-acs-2024_questionnaire_p01_page1.png	50	compact_chain	26.710	53.199	2.7865
documents	office_census-acs-2024_questionnaire_p01_page1.png	75	lanczos	24.875	48.753	3.6168
documents	office_census-acs-2024_questionnaire_p01_page1.png	75	span_direct	26.510	48.523	5.8464
documents	office_census-acs-2024_questionnaire_p01_page1.png	75	compact_direct	26.666	53.399	2.7004
documents	office_census-acs-2024_questionnaire_p01_page1.png	75	span_chain	26.787	48.931	5.5523
documents	office_census-acs-2024_questionnaire_p01_page1.png	75	compact_chain	26.994	55.119	2.6154
documents	office_fec-form3_campaign-finance_p01_page1.png	35	lanczos	24.918	46.211	4.0559
documents	office_fec-form3_campaign-finance_p01_page1.png	35	span_direct	26.012	54.546	3.5654
documents	office_fec-form3_campaign-finance_p01_page1.png	35	compact_direct	26.293	52.750	3.5862
documents	office_fec-form3_campaign-finance_p01_page1.png	35	span_chain	26.389	60.066	3.3296
documents	office_fec-form3_campaign-finance_p01_page1.png	35	compact_chain	26.659	59.079	3.3050
documents	office_fec-form3_campaign-finance_p01_page1.png	50	lanczos	25.126	51.505	3.7821
documents	office_fec-form3_campaign-finance_p01_page1.png	50	span_direct	26.265	58.536	3.3286
documents	office_fec-form3_campaign-finance_p01_page1.png	50	compact_direct	26.545	56.903	3.3437
documents	office_fec-form3_campaign-finance_p01_page1.png	50	span_chain	26.547	62.232	3.1804
documents	office_fec-form3_campaign-finance_p01_page1.png	50	compact_chain	26.832	61.609	3.1556
documents	office_fec-form3_campaign-finance_p01_page1.png	75	lanczos	25.343	57.656	3.5283
documents	office_fec-form3_campaign-finance_p01_page1.png	75	span_direct	26.496	62.065	3.1988
documents	office_fec-form3_campaign-finance_p01_page1.png	75	compact_direct	26.791	61.018	3.1672
documents	office_fec-form3_campaign-finance_p01_page1.png	75	span_chain	26.682	63.709	3.1419
documents	office_fec-form3_campaign-finance_p01_page1.png	75	compact_chain	26.982	63.311	3.0805
documents	office_fedreg-2026-10621_rule_p01_page1.png	35	lanczos	17.574	26.985	5.5300
documents	office_fedreg-2026-10621_rule_p01_page1.png	35	span_direct	18.064	33.446	4.8608
documents	office_fedreg-2026-10621_rule_p01_page1.png	35	compact_direct	18.188	31.016	4.8375
documents	office_fedreg-2026-10621_rule_p01_page1.png	35	span_chain	18.356	39.674	4.6064
documents	office_fedreg-2026-10621_rule_p01_page1.png	35	compact_chain	18.475	37.647	4.5377
documents	office_fedreg-2026-10621_rule_p01_page1.png	50	lanczos	17.795	33.107	5.1137
documents	office_fedreg-2026-10621_rule_p01_page1.png	50	span_direct	18.335	38.216	4.4821
documents	office_fedreg-2026-10621_rule_p01_page1.png	50	compact_direct	18.454	35.803	4.4453
documents	office_fedreg-2026-10621_rule_p01_page1.png	50	span_chain	18.534	42.538	4.3462
documents	office_fedreg-2026-10621_rule_p01_page1.png	50	compact_chain	18.658	40.685	4.2503
documents	office_fedreg-2026-10621_rule_p01_page1.png	75	lanczos	18.058	41.255	4.8166
documents	office_fedreg-2026-10621_rule_p01_page1.png	75	span_direct	18.614	43.651	4.1814
documents	office_fedreg-2026-10621_rule_p01_page1.png	75	compact_direct	18.758	41.613	4.0671
documents	office_fedreg-2026-10621_rule_p01_page1.png	75	span_chain	18.727	45.618	4.1259
documents	office_fedreg-2026-10621_rule_p01_page1.png	75	compact_chain	18.879	44.173	3.9587
art-scans	haeckel_0007_cephalopods.png	35	lanczos	26.565	39.761	3.7736
art-scans	haeckel_0007_cephalopods.png	35	span_direct	26.650	38.149	3.8610
art-scans	haeckel_0007_cephalopods.png	35	compact_direct	26.846	42.018	3.6136
art-scans	haeckel_0007_cephalopods.png	35	span_chain	26.748	36.068	3.8782
art-scans	haeckel_0007_cephalopods.png	35	compact_chain	26.997	42.042	3.5789
art-scans	haeckel_0007_cephalopods.png	50	lanczos	27.510	48.627	3.1504
art-scans	haeckel_0007_cephalopods.png	50	span_direct	27.466	44.513	3.4830
art-scans	haeckel_0007_cephalopods.png	50	compact_direct	27.701	49.571	3.0474
art-scans	haeckel_0007_cephalopods.png	50	span_chain	27.503	42.872	3.4746
art-scans	haeckel_0007_cephalopods.png	50	compact_chain	27.790	49.345	3.0129
art-scans	haeckel_0007_cephalopods.png	75	lanczos	29.361	62.922	2.2216
art-scans	haeckel_0007_cephalopods.png	75	span_direct	28.962	53.662	2.9937
art-scans	haeckel_0007_cephalopods.png	75	compact_direct	29.232	60.634	2.3565
art-scans	haeckel_0007_cephalopods.png	75	span_chain	28.932	52.694	2.9922
art-scans	haeckel_0007_cephalopods.png	75	compact_chain	29.257	60.153	2.3352
art-scans	haeckel_0034_radiolaria-green.png	35	lanczos	24.040	42.438	3.8592
art-scans	haeckel_0034_radiolaria-green.png	35	span_direct	25.250	44.417	3.5971
art-scans	haeckel_0034_radiolaria-green.png	35	compact_direct	25.333	45.402	3.4731
art-scans	haeckel_0034_radiolaria-green.png	35	span_chain	25.674	45.913	3.4552
art-scans	haeckel_0034_radiolaria-green.png	35	compact_chain	25.695	46.207	3.3913
art-scans	haeckel_0034_radiolaria-green.png	50	lanczos	24.971	51.085	3.1903
art-scans	haeckel_0034_radiolaria-green.png	50	span_direct	26.143	51.910	3.0451
art-scans	haeckel_0034_radiolaria-green.png	50	compact_direct	26.164	52.393	2.9564
art-scans	haeckel_0034_radiolaria-green.png	50	span_chain	26.368	52.037	2.9864
art-scans	haeckel_0034_radiolaria-green.png	50	compact_chain	26.399	52.221	2.9236
art-scans	haeckel_0034_radiolaria-green.png	75	lanczos	26.886	64.343	2.3157
art-scans	haeckel_0034_radiolaria-green.png	75	span_direct	27.863	62.665	2.3122
art-scans	haeckel_0034_radiolaria-green.png	75	compact_direct	27.872	63.019	2.2374
art-scans	haeckel_0034_radiolaria-green.png	75	span_chain	27.704	61.288	2.3326
art-scans	haeckel_0034_radiolaria-green.png	75	compact_chain	27.789	61.637	2.2561
art-scans	haeckel_0040_starfish.png	35	lanczos	22.819	24.215	4.9460
art-scans	haeckel_0040_starfish.png	35	span_direct	23.371	25.073	5.8881
art-scans	haeckel_0040_starfish.png	35	compact_direct	23.577	26.205	4.6179
art-scans	haeckel_0040_starfish.png	35	span_chain	23.620	24.547	5.8563
art-scans	haeckel_0040_starfish.png	35	compact_chain	23.708	25.256	4.9721
art-scans	haeckel_0040_starfish.png	50	lanczos	23.738	35.861	4.2177
art-scans	haeckel_0040_starfish.png	50	span_direct	24.347	35.457	5.7958
art-scans	haeckel_0040_starfish.png	50	compact_direct	24.482	36.678	3.9175
art-scans	haeckel_0040_starfish.png	50	span_chain	24.509	34.526	5.7571
art-scans	haeckel_0040_starfish.png	50	compact_chain	24.559	35.591	4.3253
art-scans	haeckel_0040_starfish.png	75	lanczos	25.939	55.590	2.8953
art-scans	haeckel_0040_starfish.png	75	span_direct	26.545	51.826	5.2166
art-scans	haeckel_0040_starfish.png	75	compact_direct	26.600	53.389	2.8829
art-scans	haeckel_0040_starfish.png	75	span_chain	26.462	50.240	5.1782
art-scans	haeckel_0040_starfish.png	75	compact_chain	26.474	51.806	3.3928
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	35	lanczos	21.964	27.605	4.9716
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	35	span_direct	23.718	35.626	4.1807
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	35	compact_direct	23.923	37.202	3.7030
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	35	span_chain	24.116	39.778	4.0399
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	35	compact_chain	24.244	40.096	3.4057
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	50	lanczos	22.208	36.919	4.5274
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	50	span_direct	24.018	43.495	4.2851
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	50	compact_direct	24.243	44.591	3.3322
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	50	span_chain	24.311	45.837	4.2427
